iso_code,continent,Country_Region,Lat,Long_,last_updated_date,Confirmed,new_cases,Deaths,new_deaths,new_tests,Tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,population,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty
NAM,Africa,Namibia,-22.9576,18.4904,2021-09-17,126628,91,3461,5,790,681868,0.059,17.1,374178,232051,142127,2587344,22,3.552,2.085,9541.808,13.4
NPL,Asia,Nepal,28.1667,84.25,2021-09-17,783075,1086,11012,10,11208,4068591,0.107,9.3,11590504,6083124,5507380,29674920,25,5.809,3.212,2442.804,15
NLD,Europe,Netherlands,52.3167,5.55,2021-09-17,2018461,2236,18495,11,,12823298,0.085,11.8,22196529,12068854,10924705,17173094,43.2,18.779,11.881,48472.545,
NZL,Oceania,New Zealand,-40.9006,174.886,2021-09-17,4039,24,27,0,15418,3206325,0.002,612.4,4569255,3015345,1553910,4860642,37.9,15.322,9.72,36085.843,
NIC,North America,Nicaragua,12.865416,-85.207229,2021-09-17,13025,0,202,0,,,,,769105,490472,278633,6702379,27.3,5.445,3.519,5321.444,3.2
NER,Africa,Niger,17.607789,8.081666,2021-09-17,5947,0,201,0,,,,,,,,25130810,15.1,2.553,1.378,926,44.5
NGA,Africa,Nigeria,9.082,8.6753,2021-09-17,201294,938,2649,9,,2942578,0.051,19.7,5858737,4146028,1712709,211400704,18.1,2.751,1.447,5338.454,
MKD,Europe,North Macedonia,41.6086,21.7453,2021-09-17,186010,560,6396,29,,1222443,0.081,12.3,1435392,767653,667739,2082661,39.1,13.26,8.16,13111.214,5
NOR,Europe,Norway,60.472,8.4689,2021-09-17,181195,763,841,0,24735,7537286,0.052,19.1,7586705,4046955,3539750,5465629,39.7,16.821,10.813,64800.057,0.2
OMN,Asia,Oman,21.512583,55.923255,2021-09-17,303309,0,4092,0,,,,,4336872,2710021,1626851,5223376,30.7,2.355,1.53,37960.709,
PAK,Asia,Pakistan,30.3753,69.3451,2021-09-17,1221261,2512,27135,63,57626,18740356,0.053,19,71311567,53396378,23241257,225199929,23.5,4.495,2.78,5034.708,4
PLW,Oceania,Palau,,,2021-09-17,5,0,,,,,,,,,,18174,,,,13240.405,
PSE,Asia,Palestine,31.9522,35.2332,2021-09-17,381854,2219,3890,19,11228,,0.215,4.7,1810211,1271801,538410,5222756,20.4,3.043,1.726,4449.898,1
PAN,North America,Panama,8.538,-80.7821,2021-09-17,463783,324,7169,3,8191,3772110,0.048,21,5042581,2891906,2150675,4381583,29.7,7.918,5.03,22267.037,2.2
PNG,Oceania,Papua New Guinea,-6.314993,143.95555,2021-09-17,18542,0,204,0,,,,,154710,114419,40291,9119005,22.6,3.808,2.142,3823.194,
PRY,South America,Paraguay,-23.4425,-58.4438,2021-09-17,459524,0,16120,0,2232,1809486,0.025,39.7,4401222,2550991,1850231,7219641,26.5,6.378,3.833,8827.01,1.7
PER,South America,Peru,-9.19,-75.0152,2021-09-17,2164380,0,198891,0,,,,,21271177,12354190,8916987,33359415,29.1,7.151,4.455,12236.706,3.5
PHL,Asia,Philippines,12.879721,121.774017,2021-09-17,2324475,20283,36328,310,69289,18837782,0.297,3.4,40518845,,17977462,111046910,25.2,4.803,2.661,7599.188,
POL,Europe,Poland,51.9194,19.1451,2021-09-17,2896599,652,75473,9,40596,19961353,0.015,68.4,36878694,19601546,19191249,37797000,41.8,16.763,10.202,27216.445,
PRT,Europe,Portugal,39.3999,-8.2245,2021-09-17,1060432,1023,17895,7,61620,17806549,0.02,50.1,15550992,8846756,8319395,10167923,46.2,21.502,14.924,27936.896,0.5
QAT,Asia,Qatar,25.3548,51.1839,2021-09-17,235304,117,604,0,5671,2584515,0.026,38.2,4633897,2360308,2218292,2930524,31.9,1.307,0.617,116935.6,
ROU,Europe,Romania,45.9432,24.9668,2021-09-17,1139505,4478,35359,73,,9335522,0.225,4.4,9912393,5347116,5237170,19127772,43,17.85,11.69,23313.199,5.7
RUS,Europe,Russia,61.524,105.3188,2021-09-17,7130245,19589,193111,771,,185649676,0.044,23,87267626,46745074,40522552,145912022,39.6,14.178,9.393,24765.954,0.1
